City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,reynosa,26.0833,-98.2833,29.99,28,75,6.17,MX,1697399170
83,tofol,5.3248,163.0078,27.15,78,100,5.9,FM,1697399170
84,zungeru,9.8128,6.1558,27.35,68,75,1.43,NG,1697399170
85,kavieng,-2.5744,150.7967,27.3,75,100,2.16,PG,1697399166
86,aswan,24.0934,32.907,28.61,24,0,3.09,EG,1697399170
87,wailua homesteads,22.0669,-159.378,26.53,73,40,3.6,US,1697399170
88,vilyuchinsk,52.9306,158.4028,7.18,96,100,1.56,RU,1697399074
89,fort bragg,35.139,-79.006,17.82,59,100,2.68,US,1697399170
90,poplar bluff,36.757,-90.3929,15.85,72,75,3.13,US,1697399171
91,port lincoln,-34.7333,135.8667,12.54,64,38,7.75,AU,1697399171
92,ta`u,-14.2336,-169.5144,26.34,76,76,8.07,AS,1697399171
93,whitehorse,60.7161,-135.0538,5.57,81,75,6.17,CA,1697399171
94,dunedin,-45.8742,170.5036,11.0,43,28,3.58,NZ,1697399072
95,paita,-5.0892,-81.1144,22.37,75,87,7.05,PE,1697399171
96,ust-nera,64.5667,143.2,-16.55,99,84,1.79,RU,1697399171
97,serov,59.6033,60.5787,8.17,92,100,4.47,RU,1697399171
98,kabalo,-6.05,26.9167,21.52,92,44,2.13,CD,1697399171
99,ilulissat,69.2167,-51.1,-6.99,79,100,7.2,GL,1697399172
100,ajdabiya,30.7554,20.2263,22.54,72,0,2.16,LY,1697399172
101,bilibino,68.0546,166.4372,-13.6,98,100,1.1,RU,1697399172
102,santa marinella,42.0345,11.8536,21.95,86,83,2.16,IT,1697399172
103,uturoa,-16.7333,-151.4333,25.63,75,2,4.45,PF,1697399172
104,vilani,56.5525,26.9245,7.5,82,74,5.7,LV,1697399172
105,ketchikan,55.3422,-131.6461,12.99,94,75,2.06,US,1697399172
106,shiyan,32.6475,110.7781,15.21,68,0,1.67,CN,1697399172
107,aasiaat,68.7098,-52.8699,-4.39,66,100,2.61,GL,1697399172
108,temiskaming shores,47.4938,-79.7153,6.89,83,100,5.61,CA,1697399173
109,mazar-e sharif,36.709,67.1109,14.62,31,100,1.87,AF,1697399173
110,arno,60.1167,18.6333,8.21,65,59,6.48,SE,1697399173
111,skovorodino,53.9833,123.9167,-2.99,71,0,1.82,RU,1697399173
112,kasongo,-4.45,26.6667,19.39,98,52,0.99,CD,1697399171
113,anadyr,64.75,177.4833,-0.72,100,75,1.0,RU,1697399173
114,okhotsk,59.3833,143.3,2.29,76,100,5.22,RU,1697399173
115,mungaa,-4.9667,34.8833,22.21,52,94,4.87,TZ,1697399173
116,alice springs,-23.7,133.8833,11.75,32,0,0.51,AU,1697398917
117,plymouth meeting,40.1023,-75.2744,16.41,63,100,4.02,US,1697399174
118,uvira,-3.4067,29.1458,24.03,79,100,1.44,CD,1697399174
119,chibougamau,49.9168,-74.3659,11.79,71,100,5.66,CA,1697399174
120,kodiak,57.79,-152.4072,8.73,93,100,4.12,US,1697399174
121,san patricio,28.017,-97.5169,26.2,27,0,7.19,US,1697399174
122,nar'yan-mar,67.6713,53.087,0.62,87,100,8.94,RU,1697399047
123,isafjordur,66.0755,-23.124,4.94,96,100,1.72,IS,1697399035
124,tezontepec,19.8833,-98.8167,17.77,65,96,4.46,MX,1697399174
125,port elizabeth,-33.918,25.5701,18.16,93,100,6.69,ZA,1697399174
126,naze,28.3667,129.4833,19.51,59,68,4.44,JP,1697399175
127,mil'kovo,55.6078,37.7956,10.31,90,100,3.96,RU,1697399175
128,jamestown,42.097,-79.2353,9.73,91,100,5.14,US,1697398938
129,kolokani,13.5728,-8.0339,30.63,16,87,3.8,ML,1697399175
130,al fuwayliq,26.4432,43.2534,26.86,14,0,4.13,SA,1697399175
131,fort dodge,42.4975,-94.168,10.86,62,100,4.63,US,1697399175
132,port alfred,-33.5906,26.891,16.77,95,100,2.68,ZA,1697399175
133,puerto san jose,13.9256,-90.8244,29.49,73,78,2.63,GT,1697399175
134,northam,51.0333,-4.2167,7.01,77,100,4.33,GB,1697399176
135,ar rahad,12.7167,30.65,31.1,35,99,3.5,SD,1697399176
136,san ignacio,17.1561,-89.0714,33.08,62,20,2.06,BZ,1697399176
137,lorengau,-2.0226,147.2712,27.14,77,100,1.61,PG,1697399177
138,mejit,10.2753,170.8646,27.95,73,24,5.29,MH,1697399177
139,essaouira,31.5125,-9.77,26.72,38,75,5.66,MA,1697399177
140,sao joao da barra,-21.6403,-41.0511,26.05,89,100,3.5,BR,1697399177
141,codrington,-38.2667,141.9667,9.57,70,82,10.24,AU,1697399131
142,margate,51.3813,1.3862,5.17,59,43,3.38,GB,1697399177
143,san pedro pochutla,15.7333,-96.4667,30.84,74,100,2.8,MX,1697399177
144,ararat,39.8317,44.7049,18.19,41,33,1.52,AM,1697399178
145,nadym,65.5333,72.5167,0.41,90,100,3.6,RU,1697399178
146,doksy,50.5647,14.6555,5.57,78,41,3.3,CZ,1697399178
147,enewetak,11.3474,162.3373,28.44,76,99,4.49,MH,1697399132
148,toliara,-23.35,43.6667,22.72,78,0,2.97,MG,1697399178
149,acajutla,13.5928,-89.8275,28.76,78,92,2.72,SV,1697399178
150,hermanus,-34.4187,19.2345,15.23,93,10,3.8,ZA,1697399178
151,jaguaquara,-13.5306,-39.9708,24.96,48,36,3.91,BR,1697399178
152,mandalgovi,45.7625,106.2708,5.91,47,9,3.83,MN,1697399178
153,amos,48.5669,-78.1162,8.5,80,100,5.3,CA,1697399104
154,crane,31.3974,-102.3501,20.7,27,0,4.56,US,1697399179
155,celestun,20.8667,-90.4,28.45,80,68,6.26,MX,1697399179
156,port-vila,-17.7338,168.3219,23.78,94,75,3.09,VU,1697399179
157,antalaha,-14.9003,50.2788,22.93,92,99,2.1,MG,1697399179
158,keflavik,64.0049,-22.5624,8.24,93,100,7.2,IS,1697399179
159,gazli,40.1333,63.45,11.36,18,8,5.91,UZ,1697399180
160,queenstown,-31.8976,26.8753,12.09,87,100,5.37,ZA,1697399180
161,port mathurin,-19.6833,63.4167,23.45,84,18,6.36,MU,1697399180
162,ha tinh,18.3333,105.9,22.8,89,71,3.19,VN,1697399180
163,darwin,-12.4611,130.8418,24.99,88,30,1.54,AU,1697399101
164,kununurra,-15.7667,128.7333,16.99,72,87,0.0,AU,1697399180
165,constantia,44.1833,28.65,16.5,84,2,6.14,RO,1697399061
166,junin de los andes,-39.9504,-71.0694,11.53,35,4,7.71,AR,1697399180
167,egilsstadir,65.2653,-14.3948,-0.05,93,100,1.03,IS,1697399181
168,tianpeng,30.9866,103.9393,20.91,77,83,0.43,CN,1697399181
169,oranjemund,-28.55,16.4333,16.36,76,0,2.22,NA,1697399181
170,morehead city,34.7229,-76.726,18.0,69,75,5.66,US,1697399157
171,sodankyla,67.4167,26.6,0.76,99,100,4.45,FI,1697399181
172,mashhad,36.297,59.6062,11.08,62,0,2.06,IR,1697399182
173,mount pearl,47.5166,-52.7813,15.25,71,75,5.66,CA,1697399024
174,irara,-12.05,-38.7667,27.15,46,20,6.68,BR,1697399183
175,strezhevoy,60.7333,77.5889,3.31,91,99,3.13,RU,1697399183
176,altayskoye,51.9533,85.3325,8.19,78,94,3.53,RU,1697399183
177,pitimbu,-7.4706,-34.8086,28.33,72,100,6.7,BR,1697399183
178,kavaratti,10.5669,72.642,27.3,74,86,2.34,IN,1697399183
179,tangalle,6.024,80.7911,24.92,86,97,3.23,LK,1697398921
180,klyuchi,52.2667,79.1667,4.78,77,31,3.17,RU,1697399012
181,namtsy,62.7161,129.6658,-11.21,96,14,0.67,RU,1697399139
182,daru,-9.0763,143.2092,24.72,87,83,5.18,PG,1697399184
183,morehead,37.2711,-87.1764,13.81,63,100,2.57,US,1697399088
184,saipan,15.1355,145.701,26.39,89,0,2.06,MP,1697399184
185,tarnogskiy gorodok,60.4997,43.5761,7.49,80,71,5.22,RU,1697399185
186,broken hill,-31.95,141.4333,11.82,78,0,7.13,AU,1697399185
187,saudarkrokur,65.7461,-19.6394,4.64,98,100,6.08,IS,1697399185
188,georgetown,5.4112,100.3354,27.96,89,20,0.0,MY,1697399102
189,porto belo,-27.1578,-48.5531,19.97,87,100,3.48,BR,1697399059
190,lata,40.1629,-8.3327,19.34,91,74,1.16,PT,1697399185
191,utrik,11.2278,169.8474,28.07,72,10,5.71,MH,1697399185
192,lazaro cardenas,17.9583,-102.2,29.2,78,94,0.29,MX,1697399186
193,leninskoye,41.7589,69.3864,10.22,43,7,1.2,KZ,1697399186
194,luderitz,-26.6481,15.1594,15.34,79,0,3.26,NA,1697399186
195,vorkuta,67.5,64.0,-0.84,92,100,6.63,RU,1697399187
196,sinan,34.8262,126.1086,18.06,72,0,8.71,KR,1697399188
197,monterrey,25.6667,-100.3167,21.98,57,98,1.14,MX,1697398959
198,bardai,11.65,7.2333,25.25,34,18,0.18,NG,1697399189
199,ouadda,8.0777,22.4007,19.99,96,100,1.03,CF,1697399189
200,tolanaro,-25.0319,46.9987,24.04,78,75,2.06,MG,1697399189
201,prince rupert,54.3161,-130.3201,14.05,88,100,7.72,CA,1697399004
202,constitucion,-35.3333,-72.4167,13.59,67,0,9.73,CL,1697399190
203,hithadhoo,-0.6,73.0833,27.68,75,18,7.49,MV,1697399099
204,ataq,14.5377,46.8319,22.63,63,0,3.33,YE,1697399190
205,clarinda,40.7419,-95.0383,12.18,58,100,6.17,US,1697399190
206,liman,48.9884,37.8023,12.23,40,0,2.34,UA,1697399190
207,le moule,16.3332,-61.3473,31.21,100,92,1.34,GP,1697399190
208,susuman,62.7833,148.1667,-9.45,83,100,0.89,RU,1697399191
209,kargasok,59.0556,80.8572,3.87,81,99,4.02,RU,1697399191
210,trinity,28.1808,-82.6818,26.64,63,7,4.02,US,1697398917
211,norilsk,69.3535,88.2027,-8.65,92,28,0.07,RU,1697399155
212,tan-tan,28.438,-11.1032,23.46,69,100,3.61,MA,1697399191
213,kirensk,57.7853,108.1119,5.57,95,100,3.58,RU,1697399191
214,chonchi,-42.6128,-73.8092,11.56,74,88,1.32,CL,1697399191
215,revda,56.801,59.9303,8.47,82,100,6.64,RU,1697399191
216,west island,-12.1568,96.8225,24.99,83,40,5.66,CC,1697399022
217,peniche,39.3558,-9.3811,21.27,96,85,3.31,PT,1697399192
218,nikolayevsk-on-amure,53.1406,140.73,7.42,96,100,1.52,RU,1697399192
219,juan griego,11.0817,-63.9655,30.85,67,24,4.12,VE,1697399192
220,grande prairie,55.1667,-118.8027,12.1,66,75,3.6,CA,1697398950
221,palmer,42.1584,-72.3287,14.65,52,75,6.17,US,1697399067
222,dudinka,69.4058,86.1778,-6.85,91,26,3.58,RU,1697399192
223,acarau,-2.8856,-40.12,27.59,69,92,9.45,BR,1697399026
224,tura,25.5198,90.2201,20.09,86,5,1.62,IN,1697399192
225,port blair,11.6667,92.75,26.02,94,40,0.51,IN,1697399087
226,rongelap,11.1635,166.8941,28.07,76,52,6.38,MH,1697399193
227,yuxi,24.355,102.5422,12.72,96,1,1.17,CN,1697399193
228,tshikapa,-6.4167,20.8,23.68,73,100,0.69,CD,1697399193
229,rosetta,31.4044,30.4164,23.53,60,7,4.52,EG,1697399193
230,ceelbuur,4.685,46.6176,27.34,71,55,6.9,SO,1697399193
231,gadzhiyevo,69.2551,33.3362,1.53,89,100,2.38,RU,1697399034
232,guerrero negro,27.9769,-114.0611,27.5,49,0,5.06,MX,1697399090
233,sainthia,23.95,87.6667,23.45,68,0,0.72,IN,1697399194
234,ancud,-41.8697,-73.8203,10.37,74,59,4.03,CL,1697399054
235,corner brook,48.9667,-57.9484,12.09,80,68,0.71,CA,1697399073
236,hailar,49.2,119.7,-0.72,39,71,2.51,CN,1697399194
237,buala,-8.145,159.5921,26.86,84,100,1.55,SB,1697399194
238,nelson bay,-32.7167,152.15,16.11,91,1,3.13,AU,1697399195
239,tsiombe,-25.3,45.4833,19.76,82,34,0.48,MG,1697399195
240,smithers,54.7804,-127.1743,11.18,87,75,1.54,CA,1697399195
241,envira,-7.3,-70.2167,31.37,50,96,0.97,BR,1697399196
242,singaraja,-8.112,115.0882,25.43,79,7,1.3,ID,1697399196
243,island harbour,50.724,-1.2758,8.32,66,100,5.16,GB,1697399197
244,ribeira grande,38.5167,-28.7,22.65,88,40,15.43,PT,1697399197
245,isangel,-19.55,169.2667,24.06,84,100,6.9,VU,1697399197
246,port douglas,-16.4833,145.4667,21.72,79,74,2.2,AU,1697399198
247,mariehamn,60.0973,19.9348,8.23,61,20,5.66,AX,1697399198
248,motygino,58.1831,94.7592,5.99,79,100,2.68,RU,1697399199
249,la cruz,23.9167,-106.9,31.22,64,0,3.29,MX,1697399199
250,marsa alam,25.0757,34.8918,26.11,53,0,3.34,EG,1697399199
251,kenora,49.8167,-94.4337,15.54,51,0,4.12,CA,1697399199
252,uyuni,-20.4597,-66.825,22.04,11,31,5.17,BO,1697399199
253,udachny,66.4167,112.4,-4.75,85,100,2.92,RU,1697399199
254,letlhakeng,-24.0944,25.0298,21.15,71,97,4.74,BW,1697399200
255,bakanas,44.8081,76.2772,9.13,39,22,2.01,KZ,1697399200
256,dingli,35.8614,14.3822,22.67,83,0,4.12,MT,1697399200
257,nemuro,43.3236,145.575,14.41,71,100,6.06,JP,1697399200
258,fengxiang,47.5833,130.8333,3.03,56,76,5.21,CN,1697399201
259,tshabong,-26.05,22.45,22.78,18,0,8.42,BW,1697399201
260,kidal,18.4411,1.4078,31.47,12,72,0.63,ML,1697399202
261,saint-pierre,-21.3393,55.4781,23.82,73,0,1.54,RE,1697399184
262,pangody,65.85,74.4859,0.86,91,100,3.42,RU,1697399202
263,ust'-talovka,50.5493,81.85,6.61,83,100,3.84,KZ,1697399202
264,bikenibeu village,1.3673,173.1241,28.98,79,75,2.57,KI,1697399075
265,sen monorom,12.45,107.2,19.03,98,100,1.26,KH,1697399202
266,gelemso,8.8167,40.5167,18.75,68,96,1.24,ET,1697399203
267,gaspe,48.8334,-64.4819,10.95,100,100,4.63,CA,1697399203
268,kapuskasing,49.4169,-82.4331,5.0,93,100,7.2,CA,1697399105
269,atafu village,-8.5421,-172.5159,28.75,74,100,9.43,TK,1697399203
270,viedma,-40.8135,-62.9967,24.89,29,91,10.06,AR,1697399203
271,pamandzi,-12.7967,45.2794,26.88,83,20,3.09,YT,1697399203
272,tumayr,25.7039,45.868,27.75,13,0,1.56,SA,1697399204
273,amasra,41.7463,32.3863,17.13,86,56,2.34,TR,1697399204
274,askale,39.9208,40.695,12.64,57,100,1.81,TR,1697399204
275,fisterra,42.9049,-9.2629,18.19,88,91,9.36,ES,1697399204
276,swift current,50.2834,-107.8014,11.45,58,20,6.17,CA,1697399204
277,antsiranana,-12.2787,49.2917,23.26,90,19,3.24,MG,1697399204
278,markovo,57.3206,107.0881,4.3,79,100,1.07,RU,1697399205
279,xilin hot,43.9667,116.0333,2.41,41,0,2.24,CN,1697399205
280,holualoa,19.6228,-155.9522,25.99,77,20,2.24,US,1697399205
281,cimitarra,6.3142,-73.9497,33.39,53,18,1.23,CO,1697399205
282,sangueya,10.7,-14.3667,26.16,90,100,1.41,GN,1697399205
283,kilinochchi,9.3961,80.3982,24.95,82,44,3.14,LK,1697399205
284,longjiang,47.3303,123.1836,3.44,35,0,4.08,CN,1697399206
285,remire-montjoly,4.9167,-52.2667,32.02,62,0,6.69,GF,1697399206
286,porto novo,6.4965,2.6036,26.48,83,100,3.16,BJ,1697399027
287,motueka,-41.1333,173.0167,11.31,56,27,1.02,NZ,1697399206
288,flagstaff,35.1981,-111.6513,24.73,21,0,3.6,US,1697399206
289,sinabang,2.4803,96.3801,25.57,86,100,2.94,ID,1697399206
290,vuktyl,63.8567,57.3094,2.84,97,100,4.47,RU,1697399207
291,saint-georges,12.0564,-61.7485,30.82,79,20,5.14,GD,1697399207
292,fort st. john,56.2499,-120.8529,10.94,71,75,3.6,CA,1697399207
293,mujiayingzi,42.1167,118.7833,4.47,33,0,1.79,CN,1697399207
294,port shepstone,-30.7414,30.455,18.92,82,100,5.78,ZA,1697399207
295,vernon,50.2581,-119.2691,18.75,66,65,1.03,CA,1697399104
296,hami,42.8,93.45,12.83,44,43,2.16,CN,1697399207
297,fortuna foothills,32.6578,-114.4119,33.45,13,0,1.34,US,1697399208
298,ayame,5.6083,-3.1563,23.86,96,100,1.88,CI,1697399208
299,melekeok village,7.4957,134.6367,27.31,89,75,2.06,PW,1697399208
300,gisborne,-38.6533,178.0042,13.59,54,100,3.49,NZ,1697399208
301,dryden,49.7833,-92.7503,10.16,62,0,4.12,CA,1697399208
302,summerville,33.0185,-80.1757,21.97,59,100,4.12,US,1697399081
303,zeya,53.75,127.2667,-1.4,65,25,4.82,RU,1697399163
304,ifon,6.9241,5.776,23.69,97,100,1.55,NG,1697399209
305,mohr,54.3528,9.7167,6.75,91,52,2.06,DE,1697399209
306,mount isa,-20.7333,139.5,21.87,21,37,4.63,AU,1697399209
307,bandon,51.7469,-8.7425,8.77,82,100,2.26,IE,1697399209
308,bel ombre,-4.6167,55.4167,27.91,83,40,5.66,SC,1697399209
309,gebeit,21.0667,36.3167,24.73,49,0,2.46,SD,1697399209
310,mcrae,32.068,-82.9007,20.53,53,55,5.97,US,1697399210
311,coquimbo,-29.9533,-71.3436,15.85,77,0,5.66,CL,1697399210
312,lautoka,-17.6167,177.4667,24.92,73,75,4.12,FJ,1697399210
313,cabras,39.93,8.5314,19.65,75,97,2.02,IT,1697399210
314,waingapu,-9.6567,120.2641,24.82,84,35,3.58,ID,1697399210
315,st. john's,47.5649,-52.7093,15.71,71,75,5.66,CA,1697399012
316,badger,64.8,-147.5333,1.1,94,20,2.06,US,1697399210
317,taco pozo,-25.6167,-63.2833,38.67,22,9,4.29,AR,1697399211
318,greymouth,-42.4667,171.2,10.92,73,78,5.45,NZ,1697399211
319,surany,48.0861,18.1845,10.53,63,69,5.74,SK,1697399211
320,recani,31.2846,-4.2688,24.9,22,3,1.57,MA,1697399211
321,ulsteinvik,62.3432,5.8487,8.2,78,100,5.81,NO,1697399211
322,moranbah,-22.0016,148.0466,17.56,77,6,0.92,AU,1697399211
323,hlybokaye,55.1382,27.6879,7.88,66,72,6.59,BY,1697399211
324,ulladulla,-35.35,150.4667,13.03,66,100,2.71,AU,1697399211
325,al bayda',32.7627,21.7551,17.05,84,20,3.8,LY,1697399211
326,vyselki,45.5794,39.6597,17.38,40,98,2.43,RU,1697399212
327,zag,46.9441,99.165,1.44,54,6,1.94,MN,1697399212
328,kamogawa,35.1,140.1,18.08,78,0,4.06,JP,1697399212
329,fortuna,40.5982,-124.1573,21.63,77,20,1.54,US,1697399212
330,kailua-kona,19.6406,-155.9956,28.06,76,20,2.24,US,1697399176
331,nazare,-13.035,-39.0144,26.02,65,14,2.91,BR,1697399212
332,toyooka,35.5333,134.8333,16.95,82,88,1.98,JP,1697399212
333,qamdo,31.1667,97.2333,-0.54,69,93,1.46,CN,1697399212
334,nalgonda,17.05,79.2667,25.01,76,88,0.9,IN,1697399212
335,haiku-pauwela,20.9219,-156.3051,27.25,69,0,3.09,US,1697399030
336,al qubbah,32.7616,22.2424,17.43,80,1,5.83,LY,1697399213
337,chernyshevskiy,63.0128,112.4714,-0.45,98,100,3.23,RU,1697399047
338,buka,40.8108,69.1986,10.67,37,47,0.12,UZ,1697399213
339,coppenbrugge,52.1167,9.55,8.39,87,19,3.46,DE,1697399213
340,pacasmayo,-7.4006,-79.5714,21.88,75,84,5.78,PE,1697399213
341,bulgan,48.8125,103.5347,4.69,65,45,1.61,MN,1697399213
342,mili,6.0815,171.735,28.5,72,100,3.21,MH,1697399213
343,laguna,38.421,-121.4238,29.8,39,0,0.45,US,1697399213
344,palikir - national government center,6.9248,158.1611,23.41,88,75,1.54,FM,1697399213
